acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-11656,-576,10088,-166,172,-128,2025-01-27 12:45:45,0.0
-11748,-564,9820,-135,130,-165,2025-01-27 12:45:45,0.0
-11876,-568,9888,-144,98,-193,2025-01-27 12:45:45,0.0
-11696,-492,9908,-115,66,-162,2025-01-27 12:45:45,0.0
-11692,-540,9868,-141,130,-191,2025-01-27 12:45:45,0.0
-11684,-644,9884,-110,129,-211,2025-01-27 12:45:45,0.0
-11764,-612,9876,-97,164,-219,2025-01-27 12:45:45,0.0
-11772,-572,9796,-105,106,-200,2025-01-27 12:45:45,0.0
-11856,-480,9888,-184,65,-170,2025-01-27 12:45:45,0.0
-11844,-484,9820,-163,94,-155,2025-01-27 12:45:45,0.0
-11628,-404,10148,-131,193,-176,2025-01-27 12:45:45,0.0
-11720,-468,10108,-78,234,-229,2025-01-27 12:45:45,0.0
-11720,-492,10080,-87,214,-233,2025-01-27 12:45:45,0.0
-11840,-412,9920,-70,214,-210,2025-01-27 12:45:45,0.0
-11848,-448,9764,-65,259,-159,2025-01-27 12:45:45,0.0
-11812,-376,9992,-56,262,-168,2025-01-27 12:45:45,0.0
-11620,-416,9768,22,228,-154,2025-01-27 12:45:45,0.0
-11756,-400,9920,-35,186,-135,2025-01-27 12:45:45,0.0
-11808,-420,9988,-46,152,-145,2025-01-27 12:45:45,0.0
-11644,-432,9908,-38,174,-177,2025-01-27 12:45:45,0.0
-11776,-420,9992,-54,263,-162,2025-01-27 12:45:45,0.0
-11724,-432,9984,-32,213,-146,2025-01-27 12:45:45,0.0
-11760,-484,9972,-56,135,-178,2025-01-27 12:45:45,0.0
-11916,-384,10108,-49,113,-133,2025-01-27 12:45:45,0.0
-11816,-316,10096,-45,237,-98,2025-01-27 12:45:45,0.0
-11844,-304,10332,-34,426,-84,2025-01-27 12:45:45,0.0
-11904,-172,10196,88,527,-104,2025-01-27 12:45:45,0.0
-11748,-16,10124,168,538,-88,2025-01-27 12:45:45,0.0
-11812,320,10308,378,583,-81,2025-01-27 12:45:45,0.0
-11952,632,10432,688,592,-121,2025-01-27 12:45:45,0.0
-12208,1156,10604,1099,331,59,2025-01-27 12:45:45,0.0
-12032,1396,10924,1664,85,302,2025-01-27 12:45:45,0.0
-11868,1772,10984,2138,-103,392,2025-01-27 12:45:45,0.0
-11804,2036,11316,2642,51,447,2025-01-27 12:45:45,0.0
-11852,2144,11436,3369,478,301,2025-01-27 12:45:45,0.0
-11756,2312,10700,4048,751,95,2025-01-27 12:45:45,0.0
-11748,2228,9900,4474,910,-231,2025-01-27 12:45:45,0.0
-11744,2104,9368,4706,913,-599,2025-01-27 12:45:45,0.0
-12160,1640,9344,4829,625,-822,2025-01-27 12:45:45,0.0
-12188,1196,8992,4827,328,-943,2025-01-27 12:45:45,0.0
-11560,556,9284,4755,578,-892,2025-01-27 12:45:45,0.0
-10952,220,8660,4732,432,-1089,2025-01-27 12:45:45,0.0
-10668,536,8272,4511,-69,-1346,2025-01-27 12:45:45,0.0
-10752,860,8380,4266,-706,-1543,2025-01-27 12:45:45,0.0
-10776,1264,8408,4155,-1319,-1788,2025-01-27 12:45:45,0.0
-11288,1320,8464,3913,-1852,-1994,2025-01-27 12:45:45,0.0
-11516,1168,8812,3655,-1937,-2080,2025-01-27 12:45:45,0.0
-11732,1244,8640,3401,-1874,-2088,2025-01-27 12:45:45,0.0
-11988,1472,8864,3201,-2123,-2074,2025-01-27 12:45:45,0.0
-12204,1968,8984,3068,-2226,-2022,2025-01-27 12:45:45,0.0
-12384,2428,9080,3091,-1967,-1957,2025-01-27 12:45:45,0.0
-12332,2872,9324,3269,-1557,-1906,2025-01-27 12:45:45,0.0
-12216,3220,9680,3495,-1350,-1869,2025-01-27 12:45:45,0.0
-11920,3420,9816,3868,-1257,-1837,2025-01-27 12:45:45,0.0
-11556,3468,9964,4286,-1226,-2036,2025-01-27 12:45:45,0.0
-11468,3512,10092,4734,-887,-2268,2025-01-27 12:45:45,0.0
-11408,3364,9716,5241,-359,-2474,2025-01-27 12:45:45,0.0
-11692,3240,9164,5509,-246,-2547,2025-01-27 12:45:45,0.0
-11668,2712,8840,5603,77,-2625,2025-01-27 12:45:45,0.0
-11564,2524,8192,5505,255,-2790,2025-01-27 12:45:45,0.0
-11368,2088,7724,5079,129,-2866,2025-01-27 12:45:46,0.0
-11428,1956,7900,4475,-679,-2770,2025-01-27 12:45:46,0.0
-11528,2352,8692,3748,-1838,-2753,2025-01-27 12:45:46,0.0
-12904,3044,9976,3143,-3162,-2479,2025-01-27 12:45:46,0.0
-13620,3448,10076,3025,-3917,-2165,2025-01-27 12:45:46,0.0
-13020,3748,10284,3459,-2661,-2048,2025-01-27 12:45:46,0.0
-12308,4276,10540,3939,-2323,-2011,2025-01-27 12:45:46,0.0
-10524,5216,11712,3930,-2972,-1930,2025-01-27 12:45:46,0.0
-9428,5044,13484,3000,-2094,-2076,2025-01-27 12:45:46,0.0
-9772,2652,17872,3379,-462,-2685,2025-01-27 12:45:46,0.0
-9532,456,17300,5514,251,-2596,2025-01-27 12:45:46,0.0
-9636,-3444,14072,6598,-1586,-2223,2025-01-27 12:45:46,0.0
-10292,-7900,10132,6233,-3083,-2077,2025-01-27 12:45:46,0.0
-12756,-10428,9924,3943,-3161,-1401,2025-01-27 12:45:46,0.0
-14156,-11680,12556,4158,-4268,-1237,2025-01-27 12:45:46,0.0
-13228,-10584,9972,4318,-5546,-4302,2025-01-27 12:45:46,0.0
-16032,-10380,4220,1396,-4404,-9209,2025-01-27 12:45:46,0.0
-15364,-11648,6400,-1863,1090,-11144,2025-01-27 12:45:46,0.0
-17656,-6368,4828,-5526,2690,-10860,2025-01-27 12:45:46,0.0
-16568,-36,11440,-8130,2078,-9140,2025-01-27 12:45:46,0.0
-16304,4280,15392,-4948,1847,-9026,2025-01-27 12:45:46,0.0
-15856,9316,15468,-463,3129,-9700,2025-01-27 12:45:46,0.0
-12376,10688,15740,2910,8769,-10100,2025-01-27 12:45:46,0.0
-10732,8864,14028,7341,17520,-9715,2025-01-27 12:45:46,0.0
-6828,8212,9212,12102,12125,-8472,2025-01-27 12:45:46,0.0
-2136,4532,8236,12816,7677,-8786,2025-01-27 12:45:46,0.0
-1704,948,11216,13381,3998,-9835,2025-01-27 12:45:46,0.0
-3384,-624,11808,13964,-283,-10857,2025-01-27 12:45:46,0.0
-7336,-484,10616,14178,-4814,-10742,2025-01-27 12:45:46,0.0
-11936,-100,8980,13837,-6780,-9903,2025-01-27 12:45:46,0.0
-16344,-160,8588,13234,-5542,-8879,2025-01-27 12:45:46,0.0
-18396,-1448,9180,12661,-1619,-8346,2025-01-27 12:45:46,0.0
-18772,-2764,10364,12428,4752,-7569,2025-01-27 12:45:46,0.0
-18760,-2676,10612,13188,9902,-4849,2025-01-27 12:45:46,0.0
-14816,-388,7596,13472,11288,-1962,2025-01-27 12:45:46,0.0
-9736,-876,7292,13551,10952,-727,2025-01-27 12:45:46,0.0
-6908,-1872,10452,14060,9600,-1030,2025-01-27 12:45:46,0.0
-5620,-2428,11524,14465,5319,-3519,2025-01-27 12:45:46,0.0
-8392,-1356,13932,14013,621,-6652,2025-01-27 12:45:46,0.0
-10700,1312,13384,12911,-2325,-8644,2025-01-27 12:45:46,
-10676,964,11720,11840,-1596,-9523,2025-01-27 12:45:46,0.0
-10420,-1760,10616,11390,424,-9023,2025-01-27 12:45:46,0.0
-9676,-3216,11860,11278,550,-8002,2025-01-27 12:45:46,0.0
-11096,-3368,14308,11911,-1927,-6649,2025-01-27 12:45:46,0.0
-13380,-2080,13968,12472,-4982,-4799,2025-01-27 12:45:46,0.0
-15012,-344,11780,12886,-5623,-3332,2025-01-27 12:45:46,0.0
-15776,1424,10384,12325,-3768,-2686,2025-01-27 12:45:46,0.0
-15996,1772,11576,11615,-1050,-2050,2025-01-27 12:45:46,0.0
-14312,576,12460,12182,1484,-1371,2025-01-27 12:45:46,0.0
