acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-13844,-836,64,-155,125,-173,2025-01-27 14:14:39,0.0
-13900,-884,-32,-177,42,-149,2025-01-27 14:14:39,0.0
-13748,-848,-80,-176,26,-156,2025-01-27 14:14:39,0.0
-13664,-920,-12,-201,52,-161,2025-01-27 14:14:39,0.0
-13640,-960,-104,-240,59,-150,2025-01-27 14:14:39,0.0
-13720,-924,-40,-237,128,-164,2025-01-27 14:14:39,0.0
-13776,-860,116,-249,131,-148,2025-01-27 14:14:39,0.0
-13764,-892,-148,-234,141,-180,2025-01-27 14:14:39,0.0
-13784,-892,144,-237,160,-166,2025-01-27 14:14:39,0.0
-13724,-936,12,-233,153,-179,2025-01-27 14:14:39,0.0
-13728,-928,0,-209,188,-153,2025-01-27 14:14:39,0.0
-13860,-920,24,-197,189,-169,2025-01-27 14:14:40,0.0
-13844,-992,-20,-163,163,-167,2025-01-27 14:14:40,0.0
-13776,-880,100,-172,157,-161,2025-01-27 14:14:40,0.0
-13816,-900,-104,-158,192,-137,2025-01-27 14:14:40,0.0
-13692,-908,-4,-157,169,-158,2025-01-27 14:14:40,0.0
-13748,-924,-76,-176,234,-191,2025-01-27 14:14:40,0.0
-13768,-824,80,-137,208,-175,2025-01-27 14:14:40,0.0
-13828,-948,52,-119,221,-167,2025-01-27 14:14:40,0.0
-13768,-800,44,-123,195,-170,2025-01-27 14:14:40,0.0
-13688,-824,20,-151,151,-174,2025-01-27 14:14:40,0.0
-13756,-872,36,-155,159,-154,2025-01-27 14:14:40,0.0
-13708,-880,104,-153,207,-162,2025-01-27 14:14:40,0.0
-13784,-896,44,-176,221,-165,2025-01-27 14:14:40,0.0
-13788,-924,-52,-196,200,-161,2025-01-27 14:14:40,0.0
-13768,-880,44,-188,166,-165,2025-01-27 14:14:40,0.0
-13664,-836,-132,-173,166,-195,2025-01-27 14:14:40,0.0
-13684,-860,-192,-185,181,-128,2025-01-27 14:14:40,0.0
-13832,-840,-12,-200,160,-156,2025-01-27 14:14:40,0.0
-13776,-844,72,-212,168,-161,2025-01-27 14:14:40,0.0
-13776,-896,-8,-214,166,-162,2025-01-27 14:14:40,0.0
-13704,-836,-140,-201,152,-171,2025-01-27 14:14:40,0.0
-13732,-804,32,-192,278,-163,2025-01-27 14:14:40,0.0
-13828,-828,-160,-174,261,-193,2025-01-27 14:14:40,0.0
-13788,-944,108,-141,83,-192,2025-01-27 14:14:40,0.0
-13792,-856,164,-103,133,-163,2025-01-27 14:14:40,0.0
-13708,-812,-12,-123,206,-191,2025-01-27 14:14:40,0.0
-13888,-776,40,-85,218,-160,2025-01-27 14:14:40,0.0
-13696,-828,-112,-129,194,-170,2025-01-27 14:14:40,0.0
-13784,-904,88,-103,213,-152,2025-01-27 14:14:40,0.0
-13732,-808,-72,-133,253,-135,2025-01-27 14:14:40,0.0
-13864,-860,-40,-109,226,-154,2025-01-27 14:14:40,0.0
-13780,-872,-20,-169,158,-166,2025-01-27 14:14:40,0.0
-13820,-832,-20,-158,152,-164,2025-01-27 14:14:40,0.0
-13740,-784,-60,-187,161,-152,2025-01-27 14:14:40,0.0
-13792,-764,-32,-235,182,-169,2025-01-27 14:14:40,0.0
-13740,-820,-88,-195,163,-163,2025-01-27 14:14:40,0.0
-13712,-876,-92,-178,145,-183,2025-01-27 14:14:40,0.0
-13656,-904,0,-171,163,-164,2025-01-27 14:14:40,0.0
-13768,-892,-100,-192,162,-178,2025-01-27 14:14:40,0.0
-13784,-796,-72,-180,179,-168,2025-01-27 14:14:40,0.0
-13716,-908,8,-167,194,-185,2025-01-27 14:14:40,0.0
-13752,-836,-180,-168,221,-165,2025-01-27 14:14:40,0.0
-13700,-776,-100,-190,224,-173,2025-01-27 14:14:40,0.0
-13820,-880,-204,-200,240,-174,2025-01-27 14:14:40,0.0
-13704,-884,-220,-131,209,-177,2025-01-27 14:14:40,0.0
-13764,-884,-116,-134,133,-180,2025-01-27 14:14:40,0.0
-13776,-824,-36,-131,128,-180,2025-01-27 14:14:40,0.0
