acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
4216,-1452,18532,-92,42,-167,2025-01-27 14:15:26,0.0
4220,-1472,18316,-130,13,-141,2025-01-27 14:15:26,0.0
4208,-1468,18380,-121,1,-143,2025-01-27 14:15:26,0.0
4216,-1468,18280,-131,1,-172,2025-01-27 14:15:26,0.0
4272,-1492,18336,-110,7,-162,2025-01-27 14:15:26,0.0
4220,-1548,18432,-123,5,-172,2025-01-27 14:15:26,0.0
4228,-1536,18412,-102,10,-173,2025-01-27 14:15:26,0.0
4272,-1440,18524,-119,35,-163,2025-01-27 14:15:26,0.0
4212,-1564,18536,-175,43,-184,2025-01-27 14:15:26,0.0
4280,-1460,18456,-96,47,-182,2025-01-27 14:15:26,0.0
4320,-1496,18588,-84,51,-165,2025-01-27 14:15:26,0.0
4220,-1456,18420,-127,71,-173,2025-01-27 14:15:26,0.0
4148,-1464,18496,-129,78,-173,2025-01-27 14:15:26,0.0
4212,-1440,18372,-144,84,-161,2025-01-27 14:15:26,0.0
4276,-1472,18400,-159,62,-169,2025-01-27 14:15:26,0.0
4296,-1524,18440,-171,37,-172,2025-01-27 14:15:26,0.0
4344,-1524,18444,-132,-17,-154,2025-01-27 14:15:26,0.0
4356,-1464,18488,-145,8,-187,2025-01-27 14:15:26,0.0
4376,-1336,18352,-142,116,-208,2025-01-27 14:15:26,0.0
4292,-1372,18584,-141,331,-166,2025-01-27 14:15:26,0.0
4020,-1568,18652,-141,30,-160,2025-01-27 14:15:26,0.0
3964,-1516,18564,-77,-280,-115,2025-01-27 14:15:26,0.0
4228,-1384,18388,-122,-307,-88,2025-01-27 14:15:26,0.0
4344,-1428,18112,-158,-293,-96,2025-01-27 14:15:26,0.0
4528,-1472,18124,-133,-235,-131,2025-01-27 14:15:26,0.0
4468,-1376,18340,-143,-140,-145,2025-01-27 14:15:26,0.0
4456,-1444,18368,-86,-80,-164,2025-01-27 14:15:26,0.0
4348,-1420,18424,-96,24,-155,2025-01-27 14:15:26,0.0
4384,-1416,18516,-123,77,-160,2025-01-27 14:15:27,0.0
4340,-1472,18336,-131,98,-180,2025-01-27 14:15:27,0.0
4272,-1456,18344,-157,145,-158,2025-01-27 14:15:27,0.0
4404,-1448,18324,-150,194,-164,2025-01-27 14:15:27,0.0
4408,-1400,18444,-152,202,-160,2025-01-27 14:15:27,0.0
4284,-1484,18476,-151,185,-144,2025-01-27 14:15:27,0.0
4424,-1484,18384,-130,116,-161,2025-01-27 14:15:27,0.0
4300,-1460,18552,-139,89,-172,2025-01-27 14:15:27,0.0
4340,-1400,18376,-136,79,-167,2025-01-27 14:15:27,0.0
4392,-1448,18380,-197,35,-174,2025-01-27 14:15:27,0.0
4276,-1516,18316,-242,28,-183,2025-01-27 14:15:27,0.0
4428,-1392,18464,-120,53,-192,2025-01-27 14:15:27,0.0
