acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
17980,-852,7124,75,145,-171,2025-01-27 13:58:43,0.0
17952,-900,7284,122,83,-114,2025-01-27 13:58:43,0.0
18144,-944,7260,115,189,-81,2025-01-27 13:58:43,0.0
18072,-880,7144,175,224,-72,2025-01-27 13:58:44,0.0
18164,-972,7112,173,183,-113,2025-01-27 13:58:44,0.0
18080,-1020,6964,189,136,-141,2025-01-27 13:58:44,0.0
18080,-872,7188,176,118,-138,2025-01-27 13:58:44,0.0
18132,-1024,7208,176,104,-135,2025-01-27 13:58:44,0.0
17988,-1056,7228,136,157,-149,2025-01-27 13:58:44,0.0
18120,-1040,7092,94,159,-124,2025-01-27 13:58:44,0.0
18236,-1072,7032,22,113,-132,2025-01-27 13:58:44,0.0
18256,-1036,7056,-17,122,-138,2025-01-27 13:58:44,0.0
18236,-1112,6928,-78,167,-184,2025-01-27 13:58:44,0.0
18284,-1000,7044,-97,115,-183,2025-01-27 13:58:44,0.0
18192,-1116,6964,-115,27,-185,2025-01-27 13:58:44,0.0
18156,-952,6904,-118,-81,-186,2025-01-27 13:58:44,0.0
18164,-904,7004,-108,-96,-204,2025-01-27 13:58:44,0.0
18112,-936,6848,-136,-116,-187,2025-01-27 13:58:44,0.0
18080,-876,6892,-95,-100,-178,2025-01-27 13:58:44,0.0
18140,-932,7004,-78,-54,-193,2025-01-27 13:58:44,0.0
18072,-888,7028,-75,-21,-132,2025-01-27 13:58:44,0.0
18044,-952,6864,-49,35,-134,2025-01-27 13:58:44,0.0
18084,-960,6780,-63,79,-163,2025-01-27 13:58:44,0.0
18160,-984,7060,-48,133,-161,2025-01-27 13:58:44,0.0
18140,-956,7156,-48,143,-177,2025-01-27 13:58:44,0.0
18168,-896,7000,-9,175,-159,2025-01-27 13:58:44,0.0
18164,-876,6828,-34,123,-127,2025-01-27 13:58:44,0.0
18248,-928,6976,-30,119,-131,2025-01-27 13:58:44,0.0
18244,-968,6992,-73,82,-145,2025-01-27 13:58:44,0.0
18232,-932,6904,-75,33,-170,2025-01-27 13:58:44,0.0
18184,-1028,7068,-103,-6,-174,2025-01-27 13:58:44,0.0
18148,-956,6860,-89,69,-176,2025-01-27 13:58:44,0.0
18132,-960,6876,-134,-28,-150,2025-01-27 13:58:44,0.0
18068,-1012,7040,-218,-27,-173,2025-01-27 13:58:44,0.0
18132,-916,6924,-189,81,-179,2025-01-27 13:58:44,0.0
18004,-944,6952,-240,149,-166,2025-01-27 13:58:44,0.0
18112,-976,6916,-184,212,-159,2025-01-27 13:58:44,0.0
18208,-868,6872,-148,155,-185,2025-01-27 13:58:44,0.0
18240,-856,6988,-95,113,-197,2025-01-27 13:58:44,0.0
18336,-900,6992,-87,49,-167,2025-01-27 13:58:44,0.0
18296,-792,7044,-43,26,-155,2025-01-27 13:58:44,0.0
18132,-788,6972,2,21,-141,2025-01-27 13:58:44,0.0
18088,-776,6872,20,36,-122,2025-01-27 13:58:44,0.0
18140,-996,6912,106,97,-129,2025-01-27 13:58:44,0.0
18184,-868,6860,90,100,-157,2025-01-27 13:58:44,0.0
