acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-11904,-556,-5940,-193,208,-187,2025-01-27 14:11:42,0.0
-11984,-584,-5992,-184,247,-219,2025-01-27 14:11:42,0.0
-12068,-580,-6152,-194,213,-206,2025-01-27 14:11:42,0.0
-12112,-628,-6192,-168,213,-199,2025-01-27 14:11:42,0.0
-12068,-600,-6192,-197,173,-185,2025-01-27 14:11:42,0.0
-11964,-592,-6244,-198,149,-184,2025-01-27 14:11:42,0.0
-12076,-548,-6072,-194,166,-159,2025-01-27 14:11:42,0.0
-12032,-576,-6092,-206,235,-177,2025-01-27 14:11:42,0.0
-12140,-488,-6060,-169,193,-163,2025-01-27 14:11:42,0.0
-12068,-588,-6072,-95,117,-166,2025-01-27 14:11:42,0.0
-11988,-624,-5984,-94,134,-144,2025-01-27 14:11:42,0.0
-11932,-616,-5988,-81,186,-118,2025-01-27 14:11:42,0.0
-12028,-548,-6004,-42,194,-136,2025-01-27 14:11:42,0.0
-11972,-464,-6040,-49,197,-110,2025-01-27 14:11:42,0.0
-12060,-488,-5984,-55,188,-111,2025-01-27 14:11:42,0.0
-11972,-568,-5884,-33,165,-125,2025-01-27 14:11:42,0.0
-11932,-532,-6156,-20,231,-99,2025-01-27 14:11:42,0.0
-12020,-524,-6092,-35,268,-120,2025-01-27 14:11:42,0.0
-12024,-636,-5984,-96,303,-153,2025-01-27 14:11:42,0.0
-12188,-448,-6020,-107,297,-168,2025-01-27 14:11:42,0.0
-12032,-536,-6136,-146,158,-152,2025-01-27 14:11:42,0.0
-12088,-480,-6228,-165,39,-155,2025-01-27 14:11:42,0.0
-12048,-420,-6276,-164,64,-185,2025-01-27 14:11:42,0.0
-12008,-536,-6040,-192,138,-179,2025-01-27 14:11:42,0.0
-12008,-512,-6200,-183,119,-194,2025-01-27 14:11:42,0.0
-12048,-488,-6084,-200,58,-215,2025-01-27 14:11:42,0.0
-12048,-564,-6112,-209,53,-180,2025-01-27 14:11:42,0.0
-11928,-480,-6116,-222,56,-180,2025-01-27 14:11:42,0.0
-11784,-612,-6104,-253,122,-189,2025-01-27 14:11:42,0.0
-11716,-664,-6044,-178,153,-200,2025-01-27 14:11:42,0.0
-11976,-600,-6072,-196,224,-171,2025-01-27 14:11:42,0.0
-11948,-632,-5840,-177,247,-149,2025-01-27 14:11:42,0.0
-11904,-704,-6004,-130,341,-161,2025-01-27 14:11:42,0.0
-12024,-656,-5952,-118,341,-152,2025-01-27 14:11:42,0.0
-12036,-644,-6148,-84,337,-136,2025-01-27 14:11:42,0.0
-11928,-636,-6124,-58,305,-138,2025-01-27 14:11:42,0.0
-12100,-624,-6120,-88,243,-140,2025-01-27 14:11:42,0.0
-12092,-484,-6040,-97,206,-157,2025-01-27 14:11:42,0.0
-12032,-508,-5892,-91,206,-158,2025-01-27 14:11:42,0.0
-12100,-612,-6124,-67,129,-167,2025-01-27 14:11:42,0.0
-11956,-596,-6180,-57,175,-142,2025-01-27 14:11:42,0.0
-12088,-652,-5968,-34,261,-110,2025-01-27 14:11:42,0.0
-12060,-508,-6092,-28,232,-125,2025-01-27 14:11:42,0.0
