acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-11628,-988,-6128,2449,102,789,2025-01-27 14:12:01,0.0
-11668,-1000,-6392,2563,283,850,2025-01-27 14:12:01,0.0
-11880,-1080,-6252,2623,522,887,2025-01-27 14:12:02,0.0
-11968,-804,-5908,2682,585,881,2025-01-27 14:12:02,0.0
-12096,-808,-5956,2698,538,921,2025-01-27 14:12:02,0.0
-11928,-764,-6276,2738,375,930,2025-01-27 14:12:02,0.0
-11852,-636,-6280,2709,351,895,2025-01-27 14:12:02,0.0
-11988,-708,-6288,2736,442,911,2025-01-27 14:12:02,0.0
-11832,-604,-6332,2649,417,910,2025-01-27 14:12:02,0.0
-11920,-432,-6260,2536,297,926,2025-01-27 14:12:02,0.0
-12040,-464,-6376,2444,302,902,2025-01-27 14:12:02,0.0
-11720,-504,-6388,2339,263,855,2025-01-27 14:12:02,0.0
-11744,-616,-6488,2320,255,815,2025-01-27 14:12:02,0.0
-11564,-820,-6576,2340,238,749,2025-01-27 14:12:02,0.0
-11832,-984,-6656,2332,167,747,2025-01-27 14:12:02,0.0
-11924,-1064,-6516,2428,66,746,2025-01-27 14:12:02,0.0
-11856,-952,-6424,2439,-109,745,2025-01-27 14:12:02,0.0
-11880,-792,-6452,2503,-324,727,2025-01-27 14:12:02,0.0
-12364,-932,-6392,2521,-454,742,2025-01-27 14:12:02,0.0
-12796,-1312,-5856,2580,-530,887,2025-01-27 14:12:02,0.0
-12712,-1280,-5784,2759,-834,1050,2025-01-27 14:12:02,0.0
-12340,-1144,-5720,2880,-1329,1120,2025-01-27 14:12:02,0.0
-11948,-1020,-5580,3015,-1464,1095,2025-01-27 14:12:02,0.0
-11360,-840,-5716,3159,-1247,1078,2025-01-27 14:12:02,0.0
-11132,-684,-5960,3110,-689,978,2025-01-27 14:12:02,0.0
-11260,-412,-6168,2946,-120,876,2025-01-27 14:12:02,0.0
-11692,-480,-5980,2713,389,808,2025-01-27 14:12:02,0.0
-11936,-400,-5860,2474,633,732,2025-01-27 14:12:02,0.0
-12216,-464,-5660,2241,571,698,2025-01-27 14:12:02,0.0
-12460,-376,-6012,1906,359,629,2025-01-27 14:12:02,0.0
-12396,-532,-6028,1603,393,617,2025-01-27 14:12:02,0.0
-12052,-440,-5988,1387,470,607,2025-01-27 14:12:02,0.0
-12052,-656,-5964,1177,547,528,2025-01-27 14:12:02,0.0
-11860,-652,-6096,927,823,377,2025-01-27 14:12:02,0.0
-11996,-776,-5840,653,1122,258,2025-01-27 14:12:02,0.0
-11972,-976,-6244,566,1242,258,2025-01-27 14:12:02,0.0
-11836,-980,-6088,665,1366,267,2025-01-27 14:12:02,0.0
-11776,-920,-6060,635,1359,203,2025-01-27 14:12:02,0.0
-11728,-792,-6848,529,909,59,2025-01-27 14:12:02,0.0
-11780,-872,-6816,343,569,-101,2025-01-27 14:12:02,0.0
-12028,-1028,-6568,151,411,-166,2025-01-27 14:12:02,0.0
-12136,-1040,-6376,-83,114,-194,2025-01-27 14:12:02,0.0
-11876,-968,-6348,-212,-127,-251,2025-01-27 14:12:02,0.0
-11780,-800,-6540,-414,-229,-317,2025-01-27 14:12:02,0.0
-11752,-816,-6528,-572,-228,-336,2025-01-27 14:12:02,0.0
-11564,-892,-6456,-757,-106,-445,2025-01-27 14:12:02,0.0
-11668,-1012,-6388,-893,40,-479,2025-01-27 14:12:02,0.0
-11760,-1024,-6004,-971,107,-579,2025-01-27 14:12:02,0.0
-11792,-1040,-5844,-1026,210,-618,2025-01-27 14:12:02,0.0
-11964,-964,-5996,-1115,300,-637,2025-01-27 14:12:02,0.0
-11928,-896,-6060,-1182,377,-625,2025-01-27 14:12:02,0.0
-11964,-1048,-6008,-1221,592,-625,2025-01-27 14:12:02,0.0
-12084,-1144,-6128,-1262,575,-589,2025-01-27 14:12:02,0.0
-12388,-1288,-6036,-1256,303,-623,2025-01-27 14:12:02,0.0
-12328,-1384,-6332,-1170,80,-523,2025-01-27 14:12:02,0.0
-12284,-1376,-6364,-1111,-211,-466,2025-01-27 14:12:02,0.0
-12228,-1296,-6408,-1047,-708,-433,2025-01-27 14:12:02,0.0
-12288,-1148,-6280,-987,-888,-397,2025-01-27 14:12:02,0.0
-12328,-1132,-6064,-918,-904,-283,2025-01-27 14:12:02,0.0
-12208,-716,-6024,-872,-857,-252,2025-01-27 14:12:02,0.0
-12012,-888,-6324,-912,-977,-287,2025-01-27 14:12:02,0.0
-11740,-1276,-5904,-757,-1075,-328,2025-01-27 14:12:02,0.0
