acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-12188,-864,9096,-182,158,-183,2025-01-27 14:05:24,0.0
-12168,-760,9108,-173,178,-184,2025-01-27 14:05:24,0.0
-12200,-816,9232,-177,164,-186,2025-01-27 14:05:24,0.0
-12128,-840,9240,-150,136,-214,2025-01-27 14:05:24,0.0
-12156,-796,9108,-176,173,-202,2025-01-27 14:05:24,0.0
-12056,-676,9072,-186,190,-195,2025-01-27 14:05:24,0.0
-12212,-904,9140,-174,164,-200,2025-01-27 14:05:24,0.0
-12224,-752,9200,-117,144,-195,2025-01-27 14:05:24,0.0
-12136,-796,9188,-137,148,-190,2025-01-27 14:05:24,0.0
-12116,-744,9080,-132,175,-186,2025-01-27 14:05:24,0.0
-12132,-760,9156,-140,189,-173,2025-01-27 14:05:24,0.0
-12176,-764,9208,-158,240,-185,2025-01-27 14:05:24,0.0
-12268,-764,9096,-157,220,-189,2025-01-27 14:05:24,0.0
-12296,-720,9160,-158,194,-202,2025-01-27 14:05:24,0.0
-12264,-760,9156,-174,165,-181,2025-01-27 14:05:24,0.0
-12104,-836,9120,-171,192,-204,2025-01-27 14:05:24,0.0
-12228,-748,9224,-189,220,-234,2025-01-27 14:05:24,0.0
-12368,-832,8944,-192,134,-209,2025-01-27 14:05:24,0.0
-12176,-812,9048,-168,23,-177,2025-01-27 14:05:24,0.0
-11996,-728,9060,-141,45,-140,2025-01-27 14:05:24,0.0
-11968,-728,9288,-141,94,-160,2025-01-27 14:05:24,0.0
-12088,-784,9200,-157,128,-149,2025-01-27 14:05:24,0.0
-12176,-908,9156,-159,198,-189,2025-01-27 14:05:24,0.0
-12348,-820,9308,-195,184,-181,2025-01-27 14:05:24,0.0
-12132,-824,9224,-169,158,-195,2025-01-27 14:05:24,0.0
-12140,-776,9084,-195,110,-181,2025-01-27 14:05:24,0.0
-12076,-748,8948,-136,146,-155,2025-01-27 14:05:24,0.0
-12124,-664,8984,-160,165,-147,2025-01-27 14:05:24,0.0
-12316,-700,9068,-170,216,-146,2025-01-27 14:05:24,0.0
-12252,-732,9136,-146,206,-148,2025-01-27 14:05:24,0.0
-12216,-776,9344,-181,191,-149,2025-01-27 14:05:24,0.0
-12148,-740,9256,-157,161,-166,2025-01-27 14:05:24,0.0
-12244,-772,9196,-155,154,-161,2025-01-27 14:05:24,0.0
-12156,-824,9076,-125,142,-164,2025-01-27 14:05:24,0.0
-12252,-820,9264,-157,150,-166,2025-01-27 14:05:24,0.0
-12264,-668,9280,-145,162,-166,2025-01-27 14:05:24,0.0
-12168,-796,9192,-152,171,-164,2025-01-27 14:05:24,0.0
-12228,-748,9080,-143,195,-153,2025-01-27 14:05:24,0.0
-12108,-756,9312,-155,192,-145,2025-01-27 14:05:24,0.0
-12260,-764,9160,-133,190,-152,2025-01-27 14:05:24,0.0
-12148,-740,9028,-149,168,-150,2025-01-27 14:05:24,0.0
-12120,-740,9240,-141,178,-153,2025-01-27 14:05:24,0.0
-12200,-692,9276,-115,203,-166,2025-01-27 14:05:24,0.0
-12140,-776,9104,-152,180,-184,2025-01-27 14:05:24,0.0
-12168,-832,9236,-143,160,-175,2025-01-27 14:05:24,0.0
-12260,-780,9132,-178,193,-172,2025-01-27 14:05:24,0.0
-12200,-800,8960,-150,182,-156,2025-01-27 14:05:25,0.0
-12176,-728,9200,-126,150,-173,2025-01-27 14:05:25,0.0
-12180,-788,9204,-158,160,-152,2025-01-27 14:05:25,0.0
-12112,-740,9080,-157,169,-186,2025-01-27 14:05:25,0.0
-12108,-740,9140,-174,167,-165,2025-01-27 14:05:25,0.0
-12088,-772,9172,-169,178,-194,2025-01-27 14:05:25,0.0
-12140,-748,9076,-179,146,-155,2025-01-27 14:05:25,0.0
-12128,-716,9168,-166,170,-179,2025-01-27 14:05:25,0.0
-12268,-776,9200,-149,155,-165,2025-01-27 14:05:25,0.0
-12212,-712,9188,-187,169,-164,2025-01-27 14:05:25,0.0
-12112,-704,9120,-154,171,-163,2025-01-27 14:05:25,0.0
-12040,-716,9056,-157,189,-162,2025-01-27 14:05:25,0.0
-12176,-776,9216,-161,156,-174,2025-01-27 14:05:25,0.0
-12192,-748,9112,-138,159,-124,2025-01-27 14:05:25,0.0
-12120,-740,9136,-160,143,-155,2025-01-27 14:05:25,0.0
-12204,-804,9092,-130,165,-168,2025-01-27 14:05:25,0.0
-12228,-848,9116,-148,165,-165,2025-01-27 14:05:25,0.0
-12036,-668,9288,-172,205,-184,2025-01-27 14:05:25,0.0
-12160,-740,9072,-157,210,-183,2025-01-27 14:05:25,0.0
-12160,-812,9140,-160,198,-182,2025-01-27 14:05:25,0.0
-12280,-760,9160,-167,189,-184,2025-01-27 14:05:25,0.0
-12208,-764,9268,-157,189,-189,2025-01-27 14:05:25,0.0
-12276,-680,9064,-180,226,-189,2025-01-27 14:05:25,0.0
-12356,-672,9128,-181,210,-216,2025-01-27 14:05:25,0.0
-12232,-720,9008,-155,54,-208,2025-01-27 14:05:25,0.0
-12080,-812,9164,-140,25,-151,2025-01-27 14:05:25,0.0
-12096,-704,9164,-100,82,-146,2025-01-27 14:05:25,0.0
-12136,-720,9216,-151,136,-180,2025-01-27 14:05:25,0.0
-12048,-780,9028,-154,132,-185,2025-01-27 14:05:26,0.0
-12224,-808,9156,-171,165,-189,2025-01-27 14:05:26,0.0
-12188,-800,9236,-181,159,-177,2025-01-27 14:05:26,0.0
-12144,-760,9148,-194,142,-159,2025-01-27 14:05:26,0.0
-12128,-760,9080,-156,136,-187,2025-01-27 14:05:26,0.0
-12044,-756,9096,-195,165,-186,2025-01-27 14:05:26,0.0
-12172,-736,9148,-178,178,-167,2025-01-27 14:05:26,0.0
-12092,-720,9100,-172,216,-172,2025-01-27 14:05:26,0.0
-12232,-752,9112,-150,167,-159,2025-01-27 14:05:26,0.0
