acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
18992,-1136,3468,41,30,-228,2025-01-27 13:55:18,0.0
18880,-1108,3656,53,50,-202,2025-01-27 13:55:18,0.0
18732,-940,3440,90,-12,-209,2025-01-27 13:55:18,0.0
18888,-1108,3544,82,43,-220,2025-01-27 13:55:18,0.0
18768,-1124,3672,125,124,-214,2025-01-27 13:55:18,0.0
18900,-1196,3756,88,143,-231,2025-01-27 13:55:18,0.0
18936,-1160,3580,122,126,-227,2025-01-27 13:55:18,0.0
18832,-1188,3476,122,45,-209,2025-01-27 13:55:18,0.0
18848,-1168,3472,117,0,-171,2025-01-27 13:55:18,0.0
18944,-1004,3628,144,69,-184,2025-01-27 13:55:18,0.0
18932,-1144,3604,162,-41,-201,2025-01-27 13:55:18,0.0
18840,-1056,3612,169,-3,-197,2025-01-27 13:55:18,0.0
18908,-1224,3492,156,131,-219,2025-01-27 13:55:18,0.0
18924,-1180,3516,142,209,-233,2025-01-27 13:55:18,0.0
18884,-1228,3560,115,202,-213,2025-01-27 13:55:18,0.0
18852,-1216,3560,97,132,-229,2025-01-27 13:55:18,0.0
18896,-1132,3404,76,63,-223,2025-01-27 13:55:18,0.0
18960,-1112,3404,59,108,-257,2025-01-27 13:55:18,0.0
18928,-1164,3528,61,115,-250,2025-01-27 13:55:18,0.0
18844,-1104,3404,35,97,-248,2025-01-27 13:55:19,0.0
18856,-1140,3600,77,47,-224,2025-01-27 13:55:19,0.0
18996,-1056,3488,53,50,-220,2025-01-27 13:55:19,0.0
18924,-1108,3452,73,37,-236,2025-01-27 13:55:19,0.0
18972,-1056,3600,101,3,-244,2025-01-27 13:55:19,0.0
18980,-1080,3404,86,-15,-280,2025-01-27 13:55:19,0.0
18928,-1208,3416,84,-121,-261,2025-01-27 13:55:19,0.0
18852,-1108,3404,71,-121,-239,2025-01-27 13:55:19,0.0
18796,-1212,3472,101,-46,-244,2025-01-27 13:55:19,0.0
18768,-1132,3248,51,54,-264,2025-01-27 13:55:19,0.0
18700,-1104,3348,18,122,-245,2025-01-27 13:55:19,0.0
18816,-1028,3572,15,233,-282,2025-01-27 13:55:19,0.0
18804,-1156,3512,38,249,-292,2025-01-27 13:55:19,0.0
18952,-1092,3588,-26,195,-282,2025-01-27 13:55:19,0.0
18904,-1168,3576,-26,63,-303,2025-01-27 13:55:19,0.0
18880,-1080,3512,-56,121,-268,2025-01-27 13:55:19,0.0
18880,-920,3560,-60,153,-247,2025-01-27 13:55:19,0.0
18876,-1036,3648,-118,-84,-237,2025-01-27 13:55:19,0.0
19008,-1056,3784,-142,-143,-273,2025-01-27 13:55:19,0.0
18900,-1044,3536,-176,-91,-320,2025-01-27 13:55:19,0.0
18824,-1144,3468,-278,-94,-389,2025-01-27 13:55:19,0.0
18740,-904,3340,-492,-165,-513,2025-01-27 13:55:19,0.0
18688,-800,2908,-765,-182,-593,2025-01-27 13:55:19,0.0
18780,-312,2984,-1312,363,-984,2025-01-27 13:55:19,0.0
19724,316,4344,-1184,2252,-1935,2025-01-27 13:55:19,0.0
20336,900,4728,-895,4424,-2761,2025-01-27 13:55:19,0.0
19884,396,4288,-431,5432,-2901,2025-01-27 13:55:19,0.0
18852,412,3672,-184,3235,-1983,2025-01-27 13:55:19,0.0
18008,-136,3704,429,-621,-796,2025-01-27 13:55:19,0.0
18072,-12,2876,-7,-3163,-154,2025-01-27 13:55:19,0.0
18176,432,2016,-579,-1924,-593,2025-01-27 13:55:19,0.0
17068,528,1608,-578,504,-382,2025-01-27 13:55:19,0.0
17872,840,2928,311,2079,129,2025-01-27 13:55:19,0.0
18632,836,2812,617,2075,358,2025-01-27 13:55:19,0.0
19296,484,3184,839,1612,523,2025-01-27 13:55:19,0.0
19404,260,2944,1093,1295,779,2025-01-27 13:55:19,0.0
19340,504,3020,1304,965,1023,2025-01-27 13:55:19,0.0
18940,848,2692,1222,274,1439,2025-01-27 13:55:19,0.0
19008,576,3288,1245,-547,1830,2025-01-27 13:55:19,0.0
18812,36,3764,1470,-1515,2308,2025-01-27 13:55:19,0.0
18264,-432,4120,1535,-2093,2709,2025-01-27 13:55:19,0.0
17748,-1252,4592,927,-2329,2907,2025-01-27 13:55:19,0.0
17316,-2912,4576,86,-2775,2685,2025-01-27 13:55:19,0.0
16932,-4600,2980,-878,-3116,1871,2025-01-27 13:55:19,0.0
17300,-5092,1372,-1744,-2119,501,2025-01-27 13:55:19,0.0
17724,-3440,1408,-2238,1755,-364,2025-01-27 13:55:19,0.0
19020,-1920,2284,-1707,6233,-263,2025-01-27 13:55:19,0.0
20676,-1096,1332,-1338,8779,509,2025-01-27 13:55:19,0.0
22000,-304,620,-1148,7489,1533,2025-01-27 13:55:19,0.0
22548,-228,1180,-221,3006,2278,2025-01-27 13:55:19,0.0
22252,-544,1964,1155,-2045,2828,2025-01-27 13:55:19,0.0
20700,-1016,2420,2235,-5210,3355,2025-01-27 13:55:19,0.0
18732,-1304,2680,2872,-7129,3550,2025-01-27 13:55:19,0.0
16876,-1420,2860,3359,-8174,3309,2025-01-27 13:55:19,0.0
15836,-1832,2156,3800,-7723,2747,2025-01-27 13:55:19,0.0
15864,-2080,736,4162,-5187,2357,2025-01-27 13:55:19,0.0
16732,-2004,-88,4451,-1689,1898,2025-01-27 13:55:19,0.0
17752,-1984,-168,4711,1053,1334,2025-01-27 13:55:19,0.0
18980,-1816,88,5322,1448,811,2025-01-27 13:55:19,0.0
19840,-1488,-36,5658,-611,460,2025-01-27 13:55:19,0.0
20028,-1168,60,5690,-3625,-18,2025-01-27 13:55:19,0.0
18792,-1024,-296,5673,-6038,-406,2025-01-27 13:55:19,0.0
17700,-1224,-220,5844,-5982,-674,2025-01-27 13:55:20,0.0
16508,-2100,-116,6389,-2967,-572,2025-01-27 13:55:20,0.0
16524,-2664,552,7318,76,135,2025-01-27 13:55:20,0.0
17376,-2808,52,8334,1369,1012,2025-01-27 13:55:20,0.0
18504,-3072,-620,8852,1183,1340,2025-01-27 13:55:20,0.0
18700,-3196,-1088,8886,287,1256,2025-01-27 13:55:20,0.0
17672,-2976,-1116,9076,137,1297,2025-01-27 13:55:20,0.0
17524,-2948,-1036,9840,341,1648,2025-01-27 13:55:20,0.0
18252,-3412,-752,10450,737,1986,2025-01-27 13:55:20,0.0
19344,-4476,1868,11176,2522,3545,2025-01-27 13:55:20,0.0
20276,-5908,2848,11778,4050,5522,2025-01-27 13:55:20,0.0
21316,-6780,376,10241,3561,7342,2025-01-27 13:55:20,0.0
22540,-6812,-236,6909,513,8005,2025-01-27 13:55:20,0.0
22976,-7004,1656,4807,-3575,7994,2025-01-27 13:55:20,0.0
23108,-6700,1768,3643,-7452,7336,2025-01-27 13:55:20,0.0
24376,-6732,2196,2339,-8826,5134,2025-01-27 13:55:20,0.0
24440,-6144,3300,1232,-6767,1522,2025-01-27 13:55:20,0.0
22436,-4784,5960,642,-4776,-1117,2025-01-27 13:55:20,0.0
21008,-3068,7288,845,-4359,-2129,2025-01-27 13:55:20,
19648,-1316,7320,1226,-4129,-2505,2025-01-27 13:55:20,0.0
18360,-468,6168,1549,-3240,-2749,2025-01-27 13:55:20,0.0
17368,564,3340,1852,-565,-3054,2025-01-27 13:55:20,0.0
17976,1328,1884,1994,2962,-3091,2025-01-27 13:55:20,0.0
19636,1128,3120,2261,5529,-3683,2025-01-27 13:55:20,0.0
20760,600,3648,3062,6080,-4865,2025-01-27 13:55:20,0.0
20560,-104,3244,3306,4900,-5396,2025-01-27 13:55:20,0.0
20948,-776,3128,3533,3703,-5789,2025-01-27 13:55:20,0.0
20884,-908,2424,3319,2418,-6702,2025-01-27 13:55:20,0.0
19404,-1128,1788,2612,164,-7292,2025-01-27 13:55:20,0.0
17624,-1220,1952,2176,-2809,-7332,2025-01-27 13:55:20,0.0
15244,-1132,1576,2035,-5562,-6861,2025-01-27 13:55:20,0.0
14236,-744,1456,2110,-5688,-6412,2025-01-27 13:55:20,0.0
13980,-168,628,2262,-3353,-6428,2025-01-27 13:55:20,0.0
13840,-152,-880,2014,-627,-5924,2025-01-27 13:55:20,0.0
13468,-20,-180,1613,1374,-4710,2025-01-27 13:55:20,0.0
14588,-296,292,1554,2161,-3604,2025-01-27 13:55:20,0.0
15456,120,268,1637,1896,-2227,2025-01-27 13:55:20,0.0
15716,680,132,1942,1401,-1264,2025-01-27 13:55:20,0.0
15588,1244,-356,2210,784,-64,2025-01-27 13:55:20,0.0
16308,1344,-1420,2411,492,577,2025-01-27 13:55:20,0.0
16924,1448,-1908,1964,182,707,2025-01-27 13:55:20,0.0
17564,1716,-1232,1459,-559,487,2025-01-27 13:55:20,0.0
18292,1752,-344,741,-1117,292,2025-01-27 13:55:20,0.0
19416,1708,-24,-384,-640,-117,2025-01-27 13:55:20,0.0
21400,1264,-324,-1260,718,-989,2025-01-27 13:55:20,0.0
23852,672,-352,-1952,2170,-2260,2025-01-27 13:55:20,0.0
25256,-148,-244,-2409,2795,-3686,2025-01-27 13:55:20,0.0
24020,756,236,-2040,1338,-4064,2025-01-27 13:55:20,0.0
23316,1740,-2180,-1292,92,-3564,2025-01-27 13:55:20,0.0
23296,1772,-4736,-1475,-439,-3367,2025-01-27 13:55:20,0.0
24912,3028,-2904,-1738,292,-3611,2025-01-27 13:55:20,0.0
24880,4552,-772,-2182,2169,-3866,2025-01-27 13:55:20,0.0
24040,6496,2164,-1862,1697,-2347,2025-01-27 13:55:20,0.0
23608,6508,5612,838,-1299,-738,2025-01-27 13:55:20,0.0
21888,5868,7932,4862,-7297,264,2025-01-27 13:55:20,0.0
19592,3148,8540,7407,-11364,36,2025-01-27 13:55:20,0.0
16532,1052,8436,8986,-11175,-1324,2025-01-27 13:55:20,0.0
13392,-1144,7908,8161,-6667,-1656,2025-01-27 13:55:20,0.0
11972,-2568,6872,6286,235,47,2025-01-27 13:55:20,0.0
14860,-3076,5668,4881,8258,2101,2025-01-27 13:55:21,0.0
17148,-2452,5140,4545,12581,3335,2025-01-27 13:55:21,0.0
19884,-564,5056,5103,12876,4278,2025-01-27 13:55:21,0.0
21388,1460,5916,6460,10918,5211,2025-01-27 13:55:21,0.0
21820,3016,4752,8022,7050,6466,2025-01-27 13:55:21,0.0
20896,1392,4868,9686,2026,7321,2025-01-27 13:55:21,0.0
18976,-640,4732,10597,-2971,7226,2025-01-27 13:55:21,0.0
17528,-2416,3940,10952,-7057,5929,2025-01-27 13:55:21,0.0
15212,-2944,1932,9749,-6052,3579,2025-01-27 13:55:21,0.0
11664,-3276,2096,7508,-3145,2656,2025-01-27 13:55:21,0.0
12792,-4092,1788,6432,473,2917,2025-01-27 13:55:21,0.0
12228,-3584,3496,6777,3334,3626,2025-01-27 13:55:21,0.0
14916,-2972,2592,7048,5275,3920,2025-01-27 13:55:21,0.0
16252,-1956,1924,6668,5555,3528,2025-01-27 13:55:21,0.0
17516,-1180,1172,5964,3566,2520,2025-01-27 13:55:21,0.0
17944,-1600,1348,5345,969,881,2025-01-27 13:55:21,0.0
17220,-1680,1196,4980,462,-452,2025-01-27 13:55:21,0.0
16540,-1880,648,4897,727,-1076,2025-01-27 13:55:21,0.0
17020,-1556,508,4822,1232,-1444,2025-01-27 13:55:21,0.0
17356,-1808,256,4723,1083,-1355,2025-01-27 13:55:21,0.0
18832,-2424,384,4678,738,-1018,2025-01-27 13:55:21,0.0
21344,-2356,952,4612,613,-1139,2025-01-27 13:55:21,0.0
21956,-2548,1440,5003,-357,-1380,2025-01-27 13:55:21,0.0
20880,-1948,1776,5222,-2406,-849,2025-01-27 13:55:21,0.0
20244,-1948,1476,5078,-3222,94,2025-01-27 13:55:21,0.0
19704,-3360,188,4969,-2113,1460,2025-01-27 13:55:21,0.0
20260,-5828,-1656,5418,1240,3389,2025-01-27 13:55:21,0.0
22256,-6272,-3976,5954,4883,5135,2025-01-27 13:55:21,0.0
25036,-3764,-2816,5396,6733,5173,2025-01-27 13:55:21,0.0
26132,-1792,3204,4590,6298,5062,2025-01-27 13:55:21,0.0
24656,-3428,5532,3653,2129,5456,2025-01-27 13:55:21,0.0
24672,-8028,5768,-238,-2777,5806,2025-01-27 13:55:21,0.0
26788,-10584,8572,-2975,-4974,3163,2025-01-27 13:55:21,0.0
24576,-8544,7612,-5067,-5400,-898,2025-01-27 13:55:21,0.0
18980,-5956,9628,-7776,-6654,-1435,2025-01-27 13:55:21,0.0
17176,-3040,11744,-7842,-6253,-709,2025-01-27 13:55:21,0.0
17468,1408,9928,-5834,-3331,-1019,2025-01-27 13:55:21,0.0
17640,5004,7096,-3787,1103,-2002,2025-01-27 13:55:21,0.0
19656,6156,4184,-2645,5344,-3683,2025-01-27 13:55:21,0.0
21124,3004,4292,-2140,5752,-5347,2025-01-27 13:55:21,0.0
20576,-904,4452,-1084,3376,-6482,2025-01-27 13:55:21,0.0
18112,-3340,4400,-699,159,-5694,2025-01-27 13:55:21,0.0
16060,-4228,4356,-689,-1960,-4956,2025-01-27 13:55:21,0.0
14248,-3500,2684,-1868,-3270,-5420,2025-01-27 13:55:21,0.0
13040,-2532,1304,-4170,-3917,-5968,2025-01-27 13:55:21,0.0
11492,-1188,3144,-5156,-4132,-5922,2025-01-27 13:55:21,0.0
11988,244,2872,-5318,-3661,-5441,2025-01-27 13:55:21,0.0
13176,1460,1464,-5672,-2182,-4373,2025-01-27 13:55:21,0.0
15128,1564,1532,-6047,224,-3657,2025-01-27 13:55:21,0.0
16284,712,2896,-5867,1593,-3119,2025-01-27 13:55:21,0.0
15880,316,3280,-5017,767,-2319,2025-01-27 13:55:21,0.0
14956,380,2532,-3677,-1037,-979,2025-01-27 13:55:21,0.0
14896,268,728,-2479,-1841,597,2025-01-27 13:55:21,0.0
14496,288,-752,-2147,-1558,1785,2025-01-27 13:55:21,0.0
14684,8,-1088,-2819,-851,2209,2025-01-27 13:55:21,0.0
15136,-280,-576,-3334,476,2471,2025-01-27 13:55:21,0.0
16860,-328,-744,-3628,2103,2947,2025-01-27 13:55:21,0.0
19788,-172,352,-4342,2339,3272,2025-01-27 13:55:21,0.0
24472,128,952,-5254,1916,1527,2025-01-27 13:55:21,0.0
26848,-560,1748,-5956,1340,-2238,2025-01-27 13:55:21,
26612,-1240,528,-5699,640,-4580,2025-01-27 13:55:21,0.0
27944,-556,-240,-2959,2650,-7151,2025-01-27 13:55:21,0.0
24340,296,-4304,-1642,2777,-7522,2025-01-27 13:55:22,0.0
19628,1212,-4396,-2529,-790,-4540,2025-01-27 13:55:22,0.0
20500,976,64,-4456,-1305,-156,2025-01-27 13:55:22,0.0
26124,3984,4672,-5853,2419,-556,2025-01-27 13:55:22,0.0
28820,4428,11088,-4855,3509,-3762,2025-01-27 13:55:22,0.0
27936,4088,15336,-544,1669,-7449,2025-01-27 13:55:22,0.0
21984,3368,16612,5455,-3092,-7327,2025-01-27 13:55:22,0.0
16744,4396,11856,9801,-7157,-4310,2025-01-27 13:55:22,0.0
11872,1696,8160,10986,-11338,468,2025-01-27 13:55:22,0.0
13040,-2200,2240,8712,-11662,4320,2025-01-27 13:55:22,0.0
16144,-3676,616,4073,-6159,4228,2025-01-27 13:55:22,0.0
17760,-3604,3308,1671,2532,2628,2025-01-27 13:55:22,0.0
16940,-1376,6140,2344,10274,2908,2025-01-27 13:55:22,0.0
16856,1720,5216,3617,12983,5580,2025-01-27 13:55:22,0.0
20088,2840,4548,4683,11195,7539,2025-01-27 13:55:22,0.0
21696,508,7364,7567,6819,6931,2025-01-27 13:55:22,0.0
17452,-2196,4656,8640,-614,6903,2025-01-27 13:55:22,0.0
15788,-2456,3668,7058,-8335,6822,2025-01-27 13:55:22,0.0
14600,-3200,3764,6385,-12083,5939,2025-01-27 13:55:22,0.0
13892,-3544,2840,6651,-10744,3420,2025-01-27 13:55:22,0.0
11076,-2364,1412,5809,-3375,1973,2025-01-27 13:55:22,0.0
11568,-2312,2896,5958,3575,2003,2025-01-27 13:55:22,0.0
13576,-2304,3204,7074,6991,2125,2025-01-27 13:55:22,0.0
15660,-2056,1244,6933,6973,1919,2025-01-27 13:55:22,0.0
17384,-2080,-388,5844,4832,974,2025-01-27 13:55:22,0.0
17992,-2220,-968,4574,2168,-212,2025-01-27 13:55:22,0.0
17260,-2352,-852,3460,598,-1478,2025-01-27 13:55:22,0.0
16172,-2024,-152,3264,-361,-1827,2025-01-27 13:55:22,0.0
16128,-1336,1020,3443,894,-2309,2025-01-27 13:55:22,0.0
17500,-1660,2152,3930,3056,-2610,2025-01-27 13:55:22,0.0
17236,-1992,4116,4824,5920,-1945,2025-01-27 13:55:22,0.0
19064,-2876,3700,5793,8509,-27,2025-01-27 13:55:22,0.0
22304,-3024,732,5696,10523,2543,2025-01-27 13:55:22,0.0
24456,-3664,-604,4592,10162,4567,2025-01-27 13:55:22,0.0
25940,-5288,-1128,3342,7200,6073,2025-01-27 13:55:22,0.0
27928,-6504,-140,2874,1882,6100,2025-01-27 13:55:22,0.0
29460,-4920,252,3178,-5906,1937,2025-01-27 13:55:22,0.0
24228,-2596,2948,2601,-6000,935,2025-01-27 13:55:22,0.0
23060,-1072,5068,3927,-3476,3115,2025-01-27 13:55:22,0.0
23064,-5296,1852,3051,-718,3684,2025-01-27 13:55:22,0.0
21448,-7644,4404,-859,-2797,4176,2025-01-27 13:55:22,0.0
22772,-8936,8416,-2633,-7509,3229,2025-01-27 13:55:22,0.0
22036,-4708,8268,-3697,-11703,-585,2025-01-27 13:55:22,0.0
17428,-2044,8616,-5825,-13334,-1399,2025-01-27 13:55:22,0.0
16692,396,9428,-6589,-10334,-881,2025-01-27 13:55:22,0.0
16900,2248,9312,-4909,-1945,-1197,2025-01-27 13:55:22,0.0
18084,2668,7536,-2024,7440,-1537,2025-01-27 13:55:22,0.0
21548,448,4352,-518,13230,-2922,2025-01-27 13:55:22,0.0
23128,-3168,1368,-1064,14976,-5238,2025-01-27 13:55:22,0.0
22016,-5352,828,-2945,10287,-6156,2025-01-27 13:55:22,0.0
20292,-4944,2956,-4675,3016,-5475,2025-01-27 13:55:22,0.0
19068,-2664,4356,-5419,-3646,-5263,2025-01-27 13:55:22,0.0
15740,-688,5028,-5537,-9106,-5282,2025-01-27 13:55:22,0.0
11916,928,4580,-5946,-12469,-5321,2025-01-27 13:55:22,0.0
10684,1892,3488,-6555,-12819,-5314,2025-01-27 13:55:22,0.0
12212,1788,2804,-6451,-9632,-6645,2025-01-27 13:55:22,0.0
14136,-48,0,-3465,241,1170,2025-01-27 13:55:22,0.0
15200,-1832,652,-2822,253,2771,2025-01-27 13:55:23,0.0
15360,-2668,-236,-3002,390,3811,2025-01-27 13:55:23,0.0
17780,-1804,-1316,-4361,634,4135,2025-01-27 13:55:23,0.0
19428,1004,-200,-6041,1049,3403,2025-01-27 13:55:23,0.0
23632,1816,2232,-6605,1591,1328,2025-01-27 13:55:23,0.0
27240,128,2624,-5735,3325,-1350,2025-01-27 13:55:23,0.0
31568,-1416,268,-4829,6928,-5571,2025-01-27 13:55:23,0.0
28768,-544,-3392,-3544,7309,-10201,2025-01-27 13:55:23,0.0
23860,760,-4228,-4038,2461,-9849,2025-01-27 13:55:23,0.0
22840,1340,-932,-4703,-2130,-6645,2025-01-27 13:55:23,0.0
23832,-1240,3752,-5016,-2486,-1924,2025-01-27 13:55:23,0.0
28032,2252,7176,-5342,-2005,-2558,2025-01-27 13:55:23,0.0
28588,4096,13568,-3376,-3384,-5387,2025-01-27 13:55:23,0.0
25052,7168,15012,199,-7695,-8073,2025-01-27 13:55:23,0.0
17180,8920,10052,2776,-12885,-6673,2025-01-27 13:55:23,0.0
10424,4804,8168,5412,-16666,-637,2025-01-27 13:55:23,0.0
11824,-2124,4736,7962,-12800,5157,2025-01-27 13:55:23,0.0
16212,-4136,400,4414,-4744,6703,2025-01-27 13:55:23,0.0
18496,-5380,2568,860,2675,4598,2025-01-27 13:55:23,0.0
18000,-2700,5696,-193,10951,1716,2025-01-27 13:55:23,0.0
16732,2456,5144,785,15094,3042,2025-01-27 13:55:23,0.0
18560,5100,5116,2436,14304,4970,2025-01-27 13:55:23,0.0
19732,4872,7364,5822,9635,5429,2025-01-27 13:55:23,0.0
17072,916,5784,7797,1763,6600,2025-01-27 13:55:23,0.0
15528,-2296,5208,7508,-5698,7542,2025-01-27 13:55:23,0.0
13800,-4600,5152,7034,-11411,7353,2025-01-27 13:55:23,0.0
13200,-7260,5036,7386,-13343,5636,2025-01-27 13:55:23,0.0
12816,-5976,1384,6645,-5465,2764,2025-01-27 13:55:23,0.0
10520,-3688,3072,5026,3083,2710,2025-01-27 13:55:23,0.0
12704,-2508,5024,6090,7974,2924,2025-01-27 13:55:23,0.0
13804,-1500,2812,7067,8695,3020,2025-01-27 13:55:23,0.0
15616,-1184,444,6970,6671,3166,2025-01-27 13:55:23,0.0
17692,-1320,-760,6071,3990,2160,2025-01-27 13:55:23,0.0
